Epoch,	LearningRate,	Loss,	Accuracy,	BatchesProcessed,	PredictionsMade,	EpochDuration,	Number of partitions,	Number Of Lines, 	MemoryUsed
0, 0.001743, 7.5475, 8.24, 404, 6446, 11907, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707975022
1, 0.001743, 6.3970, 8.55, 404, 6446, 9697, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707970729
2, 0.001743, 5.6234, 8.55, 404, 6446, 8935, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707988662
3, 0.001743, 5.4549, 8.55, 404, 6446, 9558, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707992961
4, 0.001743, 5.4423, 8.55, 404, 6446, 9727, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707988666
5, 0.001743, 5.4654, 8.55, 404, 6446, 10885, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707992958
6, 0.001743, 5.4997, 8.55, 404, 6446, 10402, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707988689
7, 0.001743, 5.5379, 8.55, 404, 6446, 8841, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707984408
8, 0.001743, 5.5773, 8.55, 404, 6446, 9747, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707988705
9, 0.001743, 5.6172, 8.55, 404, 6446, 9697, 2, 559, 10.0.0.43:60794: Max Memory = 2710359244, Remaining Memory = 2707984437
